,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"21149,68","-5960,0","5940,46","21130,14","21204,78","74,64","255,0",0
10,2,"21204,78","-6315,0","7021,73","21911,51","21862,93","-48,58","164,23",0
11,3,"21862,93","-5890,0","3218,08","19191,01","19194,42","3,41","149,26",0
12,4,"19194,42","-6160,0","6739,31","19773,73","19802,52","28,79","127,48",0
13,5,"19802,52","-5960,0","6979,79","20822,31","20853,99","31,68","148,24",0
14,6,"20853,99","-5935,0","9679,7","24598,69","24616,3","17,61","79,17",0
15,7,"24616,3","-5970,0","4603,51","23249,81","23288,6","38,79","120,63",0
16,8,"23288,6","-6185,0","3147,0","20250,6","20279,32","28,72","104,64",0
17,9,"20279,32","-6180,0","10554,15","24653,47","24654,94","1,47","160,6",0
18,10,"24654,94","-6040,0","4248,81","22863,75","22795,63","-68,12","108,41",0
19,11,"22795,63","-5865,0","2912,36","19842,99","19932,59","89,6","123,37",0
20,12,"19932,59","-6180,0","8091,42","21844,01","21746,02","-97,99","73,96",0
21,13,"21746,02","-5995,0","6523,58","22274,6","22307,01","32,41","102,96",0
22,14,"22307,01","-6255,0","6695,5","22747,51","22750,08","2,57","76,74",0
23,15,"22750,08","-6375,0","6700,23","23075,31","23034,88","-40,43","4,63",0
24,16,"23034,88","-6025,0","3851,48","20861,36","20817,1","-44,26","-57,24",0
25,17,"20817,1","-6065,0","7026,71","21778,81","21752,43","-26,38","-122,41",0
26,18,"21752,43","-5725,0","6118,29","22145,72","22203,73","58,01","-93,12",0
27,19,"22203,73","-5965,0","5947,59","22186,32","22238,16","51,84","-42,75",0
28,20,"22238,16","-6130,0","5863,63","21971,79","22116,98","145,19","170,56",0
29,21,"22116,98","-6065,0","6957,59","23009,57","23060,37","50,8","131,76",0
30,22,"23060,37","-5815,0","5889,9","23135,27","23039,92","-95,35","134,4",0
31,23,"23039,92","-5670,0","7230,17","24600,09","24631,4","31,31","133,3",0
32,24,"24631,4","-6055,0","5058,11","23634,51","23668,11","33,6","164,33",0
33,25,"23668,11","-6060,0","3543,19","21151,3","21047,47","-103,83","100,93",0
34,26,"21047,47","-6220,0","5960,46","20787,93","20878,05","90,12","235,31",0
35,27,"20878,05","-6250,0","7068,01","21696,06","21623,48","-72,58","189,11",0
36,28,"21623,48","-5970,0","6907,24","22560,72","22639,7","78,98","210,08",0
37,29,"22639,7","-6080,0","5099,14","21658,84","21702,35","43,51","201,75",0
38,30,"21702,35","-5840,0","6345,39","22207,74","22184,92","-22,82","33,74",0
39,31,"22184,92","-5775,0","6876,0","23285,92","23292,01","6,09","-10,97",0
40,32,"23292,01","-6075,0","4298,0","21515,01","21510,23","-4,78","79,6",0
41,33,"21510,23","-5950,0","6416,38","21976,61","22005,96","29,35","77,64",0
42,34,"22005,96","-6305,0","6679,44","22380,4","22312,49","-67,91","-23,87",0
43,35,"22312,49","-5560,0","6176,91","22929,4","22977,4","48,0","127,96",0
44,36,"22977,4","-6340,0","3770,25","20407,65","20450,04","42,39","80,23",0
45,37,"20450,04","-6000,0","6799,49","21249,53","21271,38","21,85","174,66",0
46,38,"21271,38","-6205,0","6961,39","22027,77","22052,79","25,02","120,7",0
47,39,"22052,79","-6165,0","2975,14","18862,93","18910,13","47,2","124,39",0
48,40,"18910,13","-5450,0","7026,21","20486,34","20463,26","-23,08","124,13",0
49,41,"20463,26","-5735,0","6862,77","21591,03","21675,76","84,73","202,77",0
50,42,"21675,76","-6025,0","6132,29","21783,05","21789,56","6,51","214,06",0
51,43,"21789,56","-5950,0","7356,6","23196,16","23158,42","-37,74","146,97",0
52,44,"23158,42","-6385,0","5226,86","22000,28","22055,35","55,07","269,95",0
53,45,"22055,35","-5840,0","6031,68","22247,03","22341,56","94,53","316,48",0
54,46,"22341,56","-6185,0","6637,02","22793,58","22812,48","18,9","292,99",0
55,47,"22812,48","-5800,0","5791,25","22803,73","22811,32","7,59","278,73",0
56,48,"22811,32","-5980,0","6746,21","23577,53","23583,73","6,2","259,91",0
57,49,"23583,73","-5970,0","6056,75","23670,48","23649,16","-21,32","191,39",0
58,50,"23649,16","-6105,0","6563,28","24107,44","24055,63","-51,81","162,66",0
59,51,"24055,63","-6035,0","6236,64","24257,27","24099,38","-157,89","-79,96",0
60,52,"24099,38","-5975,0","3735,83","21860,21","21953,07","92,86","6,39",0
61,53,"21953,07","-6020,0","5784,95","21718,02","21721,34","3,32","47,45",0
62,54,"21721,34","-5970,0","6427,76","22179,1","22199,05","19,95","12,33",0
63,55,"22199,05","-5790,0","6345,48","22754,53","22849,94","95,41","13,21",0
64,56,"22849,94","-6170,0","3216,64","19896,58","19810,96","-85,62","-91,31",0
65,57,"19810,96","-6420,0","10297,22","23688,18","23731,97","43,79","-55,11",0
66,58,"23731,97","-6195,0","3924,12","21461,09","21524,03","62,94","1,63",0
67,59,"21524,03","-6205,0","7682,38","23001,41","22983,17","-18,24","4,71",0
68,60,"22983,17","-5925,0","5865,07","22923,24","22888,94","-34,3","22,22",0
69,61,"22888,94","-6155,0","6549,86","23283,8","23274,09","-9,71","170,4",0
70,62,"23274,09","-5865,0","5530,7","22939,79","22995,38","55,59","133,13",0
71,63,"22995,38","-6320,0","5766,21","22441,59","22294,38","-147,21","-17,4",0
72,64,"22294,38","-6015,0","6524,24","22803,62","22736,35","-67,27","-104,62",0
73,65,"22736,35","-5970,0","5987,86","22754,21","22782,03","27,82","-172,21",0
74,66,"22782,03","-6245,0","7758,67","24295,7","24422,91","127,21","40,62",0
75,67,"24422,91","-6025,0","3744,45","22142,36","22172,34","29,98","26,81",0
76,68,"22172,34","-6160,0","7309,85","23322,19","23327,24","5,05","-31,08",0
77,69,"23327,24","-6020,0","6077,91","23385,15","23368,85","-16,3","-29,14",0
78,70,"23368,85","-5900,0","6815,48","24284,33","24340,95","56,62","61,78",0
79,71,"24340,95","-6075,0","5873,71","24139,66","24122,19","-17,47","54,02",0
80,72,"24122,19","-5935,0","5442,89","23630,08","23639,24","9,16","7,59",0
81,73,"23639,24","-5800,0","6027,95","23867,19","23856,69","-10,5","144,3",0
82,74,"23856,69","-5640,0","3050,29","21266,98","21227,05","-39,93","171,64",0
83,75,"21227,05","-6115,0","7748,42","22860,47","22917,82","57,35","201,17",0
84,76,"22917,82","-5865,0","3955,3","21008,12","20976,34","-31,78","42,18",0
85,77,"20976,34","-6435,0","5936,34","20477,68","20514,66","36,98","49,18",0
86,78,"20514,66","-6075,0","9567,81","24007,47","24057,18","49,71","93,84",0
87,79,"24057,18","-5835,0","5165,35","23387,53","23430,42","42,89","153,03",0
88,80,"23430,42","-5655,0","5189,8","22965,22","22966,28","1,06","97,47",0
89,81,"22966,28","-5985,0","4805,96","21787,24","21770,84","-16,4","98,54",0
90,82,"21770,84","-6130,0","5858,32","21499,16","21499,42","0,26","89,64",0
91,83,"21499,42","-6005,0","6209,32","21703,74","21709,62","5,88","106,02",0
92,84,"21709,62","-6545,0","7527,0","22691,62","22738,79","47,17","193,12",0
93,85,"22738,79","-6095,0","6042,06","22685,85","22808,26","122,41","258,18",0
94,86,"22808,26","-6175,0","5413,51","22046,77","22083,42","36,65","326,61",0
95,87,"22083,42","-5985,0","6335,77","22434,19","22441,52","7,33","296,96",0
96,88,"22441,52","-6140,0","5193,94","21495,46","21435,33","-60,13","187,12",0
97,89,"21435,33","-6125,0","5882,91","21193,24","21325,87","132,63","276,86",0
98,90,"21325,87","-5910,0","6019,86","21435,73","21401,6","-34,13","241,67",0
99,91,"21401,6","-5520,0","7823,78","23705,38","23659,4","-45,98","212,09",0
100,92,"23659,4","-5815,0","4331,53","22175,93","22218,52","42,59","254,42",0
101,93,"22218,52","-6090,0","6537,41","22665,93","22693,96","28,03","276,57",0
102,94,"22693,96","-6085,0","5474,84","22083,8","22097,96","14,16","243,56",0
103,95,"22097,96","-5995,0","6385,06","22488,02","22465,51","-22,51","98,64",0
104,96,"22465,51","-5975,0","6994,58","23485,09","23531,89","46,8","108,79",0
105,97,"23531,89","-6450,0","6672,0","23753,89","23772,36","18,47","119,93",0
106,98,"23772,36","-5825,0","3411,49","21358,85","21373,92","15,07","195,13",0
107,99,"21373,92","-6215,0","6573,43","21732,35","21727,09","-5,26","57,24",0
108,100,"21727,09","-5840,0","6432,03","22319,12","22292,79","-26,33","65,04",0
109,101,"22292,79","-5975,0","7597,99","23915,78","23925,9","10,12","121,14",0
110,102,"23925,9","-6125,0","7199,79","25000,69","24967,73","-32,96","45,59",0
111,103,"24967,73","-6230,0","3263,84","22001,57","21999,77","-1,8","15,76",0
112,104,"21999,77","-5830,0","5649,34","21819,11","21828,51","9,4","11,0",0
113,105,"21828,51","-6115,0","6880,2","22593,71","22647,81","54,1","87,61",0
114,106,"22647,81","-5855,0","8345,61","25138,42","25244,54","106,12","146,93",0
115,107,"25244,54","-6040,0","3269,77","22474,31","22482,05","7,74","136,2",0
116,108,"22482,05","-6345,0","5547,64","21684,69","21714,65","29,96","151,09",0
117,109,"21714,65","-5830,0","6978,32","22862,97","22894,4","31,43","187,78",0
118,110,"22894,4","-6080,0","3342,48","20156,88","20194,07","37,19","251,3",0
119,111,"20194,07","-5885,0","7777,33","22086,4","22075,8","-10,6","230,58",0
120,112,"22075,8","-6335,0","5866,68","21607,48","21593,33","-14,15","249,39",0
121,113,"21593,33","-6295,0","7922,65","23220,98","23269,34","48,36","299,55",0
122,114,"23269,34","-6105,0","5473,0","22637,34","22649,5","12,16","302,31",0
123,115,"22649,5","-5635,0","4532,53","21547,03","21525,38","-21,65","226,56",0
124,116,"21525,38","-6300,0","8935,4","24160,78","24165,4","4,62","125,06",0
125,117,"24165,4","-5990,0","5253,69","23429,09","23462,61","33,52","150,84",0
126,118,"23462,61","-6045,0","4994,42","22412,03","22424,78","12,75","133,63",0
127,119,"22424,78","-5885,0","5981,72","22521,5","22548,59","27,09","129,29",0
128,120,"22548,59","-6145,0","6898,84","23302,43","23418,82","116,39","208,49",0
129,121,"23418,82","-5945,0","5962,49","23436,31","23455,83","19,52","238,61",0
130,122,"23455,83","-6345,0","4727,94","21838,77","21904,79","66,02","318,78",0
131,123,"21904,79","-6140,0","6132,46","21897,25","21972,73","75,48","345,9",0
132,124,"21972,73","-5890,0","7254,92","23337,65","23446,59","108,94","442,68",0
133,125,"23446,59","-5775,0","3792,86","21464,45","21441,8","-22,65","441,68",0
134,126,"21441,8","-6075,0","7708,54","23075,34","23155,87","80,53","517,59",0
135,127,"23155,87","-6075,0","5808,43","22889,3","22821,04","-68,26","415,81",0
136,128,"22821,04","-5760,0","7172,0","24233,04","24200,84","-32,2","370,86",0
137,129,"24200,84","-6150,0","4353,63","22404,47","22408,43","3,96","347,73",0
138,130,"22408,43","-5930,0","4596,11","21074,54","21114,34","39,8","271,14",0
139,131,"21114,34","-5905,0","8201,31","23410,65","23415,81","5,16","256,78",0
140,132,"23415,81","-6530,0","6293,43","23179,24","23142,46","-36,78","153,98",0
141,133,"23142,46","-5650,0","6426,82","23919,28","23981,57","62,29","140,79",0
142,134,"23981,57","-6275,0","5397,2","23103,77","23149,42","45,65","77,5",0
143,135,"23149,42","-5885,0","3354,99","20619,41","20650,98","31,57","131,72",0
144,136,"20650,98","-6235,0","6683,5","21099,48","21052,45","-47,03","4,16",0
145,137,"21052,45","-6120,0","7039,7","21972,15","21941,97","-30,18","42,24",0
146,138,"21941,97","-5740,0","5966,04","22168,01","22161,46","-6,55","67,89",0
147,139,"22161,46","-6020,0","6876,97","23018,43","23197,26","178,83","242,76",0
148,140,"23197,26","-5805,0","5547,82","22940,08","22910,29","-29,79","173,17",0
149,141,"22910,29","-6250,0","6388,72","23049,01","22999,33","-49,68","118,33",0
150,142,"22999,33","-6165,0","6718,09","23552,42","23629,67","77,25","232,36",0
151,143,"23629,67","-5905,0","5955,62","23680,29","23741,75","61,46","231,53",0
152,144,"23741,75","-6100,0","3006,09","20647,84","20674,38","26,54","212,42",0
153,145,"20674,38","-6075,0","6979,12","21578,5","21592,97","14,47","195,32",0
154,146,"21592,97","-6285,0","5973,54","21281,51","21312,26","30,75","273,1",0
155,147,"21312,26","-6115,0","6929,39","22126,65","22191,79","65,14","368,42",0
156,148,"22191,79","-5850,0","7718,77","24060,56","24143,48","82,92","457,89",0
157,149,"24143,48","-5565,0","4843,37","23421,85","23471,92","50,07","329,13",0
158,150,"23471,92","-6040,0","4571,87","22003,79","22023,56","19,77","378,69",0
159,151,"22023,56","-6165,0","7513,68","23372,24","23435,17","62,93","491,3",0
160,152,"23435,17","-5880,0","5521,6","23076,77","23154,74","77,97","492,02",0
161,153,"23154,74","-5860,0","5865,93","23160,67","23149,8","-10,87","419,69",0
162,154,"23149,8","-5855,0","3674,43","20969,23","20957,99","-11,24","381,91",0
163,155,"20957,99","-5940,0","9449,1","24467,09","24582,42","115,33","482,77",0
164,156,"24582,42","-6335,0","5336,28","23583,7","23510,54","-73,16","378,86",0
165,157,"23510,54","-5965,0","6405,67","23951,21","23913,61","-37,6","276,12",0
166,158,"23913,61","-5815,0","5650,15","23748,76","23776,87","28,11","221,31",0
167,159,"23776,87","-5910,0","3431,14","21298,01","21280,73","-17,28","153,96",0
168,160,"21280,73","-6125,0","6800,38","21956,11","21916,58","-39,53","94,66",0
169,161,"21916,58","-6025,0","5703,42","21595,0","21563,42","-31,58","0,15",0
170,162,"21563,42","-6490,0","7578,24","22651,66","22593,08","-58,58","-136,4",0
171,163,"22593,08","-5780,0","6566,24","23379,32","23490,78","111,46","-14,07",0
172,164,"23490,78","-6340,0","4935,67","22086,45","22067,92","-18,53","-21,36",0
173,165,"22067,92","-5790,0","7265,86","23543,78","23623,29","79,51","-57,18",0
174,166,"23623,29","-5940,0","5063,19","22746,48","22668,18","-78,3","-62,32",0
175,167,"22668,18","-6130,0","3537,88","20076,06","20022,31","-53,75","-78,47",0
176,168,"20022,31","-5540,0","6949,65","21431,96","21483,46","51,5","-55,08",0
177,169,"21483,46","-5850,0","8003,92","23637,38","23605,91","-31,47","-69,27",0
178,170,"23605,91","-6510,0","6293,75","23389,66","23391,83","2,17","-27,57",0
179,171,"23391,83","-6350,0","3272,22","20314,05","20354,71","40,66","44,67",0
180,172,"20354,71","-6520,0","8631,92","22466,63","22505,97","39,34","142,59",0
181,173,"22505,97","-5935,0","6675,11","23246,08","23243,84","-2,24","28,89",0
182,174,"23243,84","-5915,0","5738,81","23067,65","23069,95","2,3","49,72",0
183,175,"23069,95","-5605,0","5857,17","23322,12","23326,81","4,69","-25,1",0
