,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"22430,06","-6075,0","5976,32","22331,38","22376,0","44,62","-116,83",0
10,2,"22376,0","-6065,0","3965,07","20276,07","20290,81","14,74","-45,27",0
11,3,"20290,81","-5775,0","6982,55","21498,36","21513,87","15,51","-60,91",0
12,4,"21513,87","-6035,0","6956,14","22435,01","22426,74","-8,27","5,59",0
13,5,"22426,74","-6030,0","6377,94","22774,68","22817,15","42,47","36,97",0
14,6,"22817,15","-6260,0","7021,22","23578,37","23632,83","54,46","197,32",0
15,7,"23632,83","-5990,0","5364,64","23007,47","23090,86","83,39","388,98",0
16,8,"23090,86","-5800,0","6568,19","23859,05","23843,46","-15,59","303,58",0
17,9,"23843,46","-6315,0","2815,16","20343,62","20413,82","70,2","350,03",0
18,10,"20413,82","-5995,0","7677,22","22096,04","22150,81","54,77","356,3",0
19,11,"22150,81","-6355,0","6929,36","22725,17","22781,68","56,51","368,19",0
20,12,"22781,68","-6100,0","5888,78","22570,46","22623,6","53,14","406,59",0
21,13,"22623,6","-6010,0","6861,85","23475,45","23425,27","-50,18","340,9",0
22,14,"23425,27","-5870,0","3545,5","21100,77","21180,36","79,59","428,76",0
23,15,"21180,36","-6180,0","8076,56","23076,92","23047,94","-28,98","357,31",0
24,16,"23047,94","-6040,0","4069,31","21077,25","21162,62","85,37","388,22",0
25,17,"21162,62","-6110,0","6682,91","21735,53","21797,84","62,31","367,14",0
26,18,"21797,84","-6305,0","6476,41","21969,25","21984,42","15,17","397,9",0
27,19,"21984,42","-5945,0","6644,63","22684,05","22628,37","-55,68","272,02",0
28,20,"22628,37","-5660,0","6730,47","23698,84","23675,56","-23,28","193,97",0
29,21,"23675,56","-6240,0","3030,31","20465,87","20423,32","-42,55","94,91",0
30,22,"20423,32","-6270,0","5935,82","20089,14","20189,37","100,23","142,0",0
31,23,"20189,37","-5905,0","8920,17","23204,54","23100,57","-103,97","88,21",0
32,24,"23100,57","-5820,0","4986,82","22267,39","22380,98","113,59","122,21",0
33,25,"22380,98","-5820,0","7256,02","23817,0","23751,34","-65,66","85,53",0
34,26,"23751,34","-5885,0","3041,26","20907,6","20879,73","-27,87","-27,71",0
35,27,"20879,73","-6100,0","7746,54","22526,27","22615,06","88,79","-1,23",0
36,28,"22615,06","-6340,0","6013,58","22288,64","22277,59","-11,05","-27,45",0
37,29,"22277,59","-5900,0","5997,78","22375,37","22384,04","8,67","36,9",0
38,30,"22384,04","-6055,0","4054,16","20383,2","20329,0","-54,2","5,98",0
39,31,"20329,0","-5935,0","6008,35","20402,35","20390,81","-11,54","36,99",0
40,32,"20390,81","-6060,0","7050,51","21381,32","21340,79","-40,53","-103,77",0
41,33,"21340,79","-5980,0","7721,12","23081,91","23010,65","-71,26","-71,06",0
42,34,"23010,65","-5950,0","7391,74","24452,39","24468,78","16,39","-168,26",0
43,35,"24468,78","-6470,0","5421,31","23420,09","23467,02","46,93","-55,67",0
44,36,"23467,02","-5845,0","3899,57","21521,59","21480,05","-41,54","-69,34",0
45,37,"21480,05","-5930,0","7478,72","23028,77","22984,23","-44,54","-202,67",0
46,38,"22984,23","-5790,0","5673,06","22867,29","22955,9","88,61","-103,01",0
47,39,"22955,9","-6215,0","3484,41","20225,31","20255,42","30,11","-81,57",0
48,40,"20255,42","-5945,0","9895,26","24205,68","24219,37","13,69","-13,68",0
49,41,"24219,37","-5890,0","3161,42","21490,79","21445,75","-45,04","-47,18",0
50,42,"21445,75","-6325,0","5997,7","21118,45","21135,91","17,46","10,81",0
51,43,"21135,91","-5960,0","6044,31","21220,22","21185,78","-34,44","47,63",0
52,44,"21185,78","-5935,0","6929,3","22180,08","22228,01","47,93","79,17",0
53,45,"22228,01","-5980,0","2957,4","19205,41","19236,15","30,74","62,98",0
54,46,"19236,15","-5960,0","8019,08","21295,23","21289,82","-5,41","99,11",0
55,47,"21289,82","-5785,0","6811,22","22316,04","22524,42","208,38","352,03",0
56,48,"22524,42","-5825,0","6769,69","23469,11","23412,89","-56,22","207,2",0
57,49,"23412,89","-6055,0","6287,93","23645,82","23725,37","79,55","256,64",0
58,50,"23725,37","-6020,0","2551,11","20256,48","20332,69","76,21","319,16",0
59,51,"20332,69","-6030,0","8576,64","22879,33","22826,84","-52,49","311,71",0
60,52,"22826,84","-6065,0","6052,6","22814,44","22781,95","-32,49","261,76",0
61,53,"22781,95","-6005,0","4424,13","21201,08","21174,67","-26,41","269,79",0
62,54,"21174,67","-6070,0","8069,63","23174,3","23251,21","76,91","298,77",0
63,55,"23251,21","-6120,0","6326,89","23458,1","23487,85","29,75","297,78",0
64,56,"23487,85","-5955,0","6193,43","23726,28","23736,0","9,72","312,91",0
65,57,"23736,0","-6150,0","3029,19","20615,19","20571,3","-43,89","60,64",0
66,58,"20571,3","-6060,0","6987,88","21499,18","21489,96","-9,22","107,64",0
67,59,"21489,96","-5905,0","7230,82","22815,78","22857,8","42,02","70,11",0
68,60,"22857,8","-6070,0","5359,95","22147,75","22106,05","-41,7","-47,8",0
69,61,"22106,05","-6190,0","6997,46","22913,51","22837,28","-76,23","-71,54",0
70,62,"22837,28","-6260,0","6551,23","23128,51","23145,17","16,66","-22,39",0
71,63,"23145,17","-5980,0","5858,84","23024,01","23007,78","-16,23","-12,21",0
72,64,"23007,78","-6100,0","5844,56","22752,34","22803,96","51,62","-37,5",0
73,65,"22803,96","-5805,0","4685,63","21684,59","21632,46","-52,13","-119,38",0
74,66,"21632,46","-6165,0","5239,17","20706,63","20703,5","-3,13","-132,23",0
75,67,"20703,5","-5955,0","4293,01","19041,51","19057,34","15,83","-72,51",0
76,68,"19057,34","-6140,0","8877,64","21794,98","21735,31","-59,67","-122,96",0
77,69,"21735,31","-5860,0","4586,34","20461,65","20490,28","28,63","-136,35",0
78,70,"20490,28","-6385,0","6553,82","20659,1","20560,2","-98,9","-193,55",0
79,71,"20560,2","-6135,0","6134,54","20559,74","20510,37","-49,37","-166,69",0
80,72,"20510,37","-6260,0","7751,19","22001,56","22002,77","1,21","-182,14",0
81,73,"22002,77","-5935,0","7257,9","23325,67","23229,32","-96,35","-262,26",0
82,74,"23229,32","-6055,0","5308,41","22482,73","22581,96","99,23","-214,65",0
83,75,"22581,96","-5805,0","3656,84","20433,8","20437,88","4,08","-158,44",0
84,76,"20437,88","-5925,0","7657,5","22170,38","22158,02","-12,36","-167,67",0
85,77,"22158,02","-5940,0","6032,25","22250,27","22217,8","-32,47","-215,97",0
86,78,"22217,8","-6110,0","7510,89","23618,69","23577,92","-40,77","-197,07",0
87,79,"23577,92","-5995,0","5315,35","22898,27","22989,19","90,92","-134,78",0
88,80,"22989,19","-5980,0","5117,66","22126,85","22132,89","6,04","-29,84",0
89,81,"22132,89","-6000,0","6617,69","22750,58","22894,36","143,78","163,31",0
90,82,"22894,36","-5470,0","6580,48","24004,84","24032,0","27,16","189,26",0
91,83,"24032,0","-5965,0","4313,04","22380,04","22282,4","-97,64","187,97",0
92,84,"22282,4","-5885,0","6414,16","22811,56","22844,09","32,53","121,27",0
93,85,"22844,09","-6025,0","6935,06","23754,15","23843,28","89,13","206,32",0
94,86,"23843,28","-6050,0","4897,02","22690,3","22712,03","21,73","240,41",0
95,87,"22712,03","-5920,0","3567,85","20359,88","20442,95","83,07","355,95",0
96,88,"20442,95","-5820,0","6379,31","21002,26","21071,69","69,43","466,15",0
97,89,"21071,69","-5920,0","7636,86","22788,55","22810,1","21,55","396,78",0
98,90,"22810,1","-6135,0","7084,6","23759,7","23746,31","-13,39","377,35",0
99,91,"23746,31","-5735,0","4069,48","22080,79","22119,98","39,19","272,76",0
100,92,"22119,98","-6400,0","5583,68","21303,66","21301,32","-2,34","243,26",0
101,93,"21301,32","-6205,0","6942,68","22039,0","22108,38","69,38","410,28",0
102,94,"22108,38","-6220,0","7284,59","23172,97","23151,49","-21,48","356,27",0
103,95,"23151,49","-6405,0","5924,97","22671,46","22773,31","101,85","368,99",0
104,96,"22773,31","-6380,0","3067,52","19460,83","19380,56","-80,27","266,99",0
105,97,"19380,56","-6025,0","6940,4","20295,96","20381,79","85,83","269,75",0
106,98,"20381,79","-6195,0","7926,49","22113,28","22164,48","51,2","251,52",0
107,99,"22164,48","-6025,0","5935,18","22074,66","22181,49","106,83","336,8",0
108,100,"22181,49","-5900,0","4620,69","20902,18","20868,23","-33,95","316,24",0
109,101,"20868,23","-5750,0","6634,09","21752,32","21794,17","41,85","318,9",0
110,102,"21794,17","-6165,0","5934,76","21563,93","21594,74","30,81","352,05",0
111,103,"21594,74","-6275,0","6910,57","22230,31","22244,41","14,1","296,77",0
112,104,"22244,41","-5615,0","6987,25","23616,66","23630,34","13,68","331,93",0
113,105,"23630,34","-6005,0","6005,55","23630,89","23641,38","10,49","240,57",0
114,106,"23641,38","-6030,0","6065,77","23677,15","23740,88","63,73","384,57",0
115,107,"23740,88","-5635,0","3375,72","21481,6","21454,55","-27,05","271,69",0
116,108,"21454,55","-6250,0","6704,79","21909,34","21976,06","66,72","287,21",0
117,109,"21976,06","-6175,0","6467,07","22268,13","22323,86","55,73","236,11",0
118,110,"22323,86","-6030,0","7128,35","23422,21","23414,68","-7,53","262,53",0
119,111,"23414,68","-6135,0","5777,57","23057,25","23087,97","30,72","251,4",0
120,112,"23087,97","-6025,0","6872,31","23935,28","23962,35","27,07","247,66",0
121,113,"23962,35","-5980,0","4298,25","22280,6","22276,83","-3,77","229,79",0
122,114,"22276,83","-6060,0","5106,77","21323,6","21340,18","16,58","232,69",0
123,115,"21340,18","-5960,0","6638,35","22018,53","22077,25","58,72","280,92",0
124,116,"22077,25","-5840,0","6748,69","22985,94","23044,66","58,72","275,91",0
125,117,"23044,66","-6135,0","3293,5","20203,16","20198,05","-5,11","297,85",0
126,118,"20198,05","-5810,0","7666,11","22054,16","22176,32","122,16","353,29",0
