,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"18599,55",-5945,"7016,17","19670,72","19646,06","-24,66","47,68",0
10,2,"19646,06",-6160,"6984,92","20470,98","20485,53","14,55","49,31",0
11,3,"20485,53",-6085,"7988,95","22389,48","22401,28","11,8","73,3",0
12,4,"22401,28",-6015,"6053,83","22440,11","22454,59","14,48","68,3",0
13,5,"22454,59",-6495,"5326,88","21286,47","21288,87","2,4","63,4",0
14,6,"21288,87",-5970,"5974,66","21293,53","21317,87","24,34","116,56",0
15,7,"21317,87",-6105,"7446,46","22659,33","22621,94","-37,39","81,81",0
16,8,"22621,94",-6025,"7510,01","24106,95","24122,85","15,9","69,34",0
17,9,"24122,85",-5980,"6625,95","24768,8","24739,76","-29,04","17,17",0
18,10,"24739,76",-6030,"3313,57","22023,33","22001,96","-21,37","-28,99",0
19,11,"22001,96",-5945,"6493,86","22550,82","22561,17","10,35","6,02",0
20,12,"22561,17",-6275,"6673,07","22959,24","22964,88","5,64","-2,89",0
21,13,"22964,88",-6410,"6416,84","22971,72","22978,85","7,13","-7,56",0
22,14,"22978,85",-5710,"6202,04","23470,89","23453,16","-17,73","-39,77",0
23,15,"23453,16",-5750,"4186,07","21889,23","21864,45","-24,78","-66,95",1
24,16,"21864,45",-6175,"5847,49","21536,94","21503,1","-33,84","-125,13",1
25,17,"21503,1",-6295,"5004,56","20212,66","20190,04","-22,62","-110,36",1
26,18,"20190,04",-5660,"4621,91","19151,95","19124,22","-27,73","-153,99",1
27,19,"19124,22",-6045,"8519,34","21598,56","21574,55","-24,01","-148,96",1
28,20,"21574,55",-6060,"5472,48","20987,03","20984,57","-2,46","-130,05",1
29,21,"20984,57",-6270,"6763,22","21477,79","21464,97","-12,82","-153,22",1
30,22,"21464,97",-5895,"6830,43","22400,4","22363,02","-37,38","-196,24",1
31,23,"22363,02",-6155,"3173,18","19381,2","19347,03","-34,17","-237,54",1
32,24,"19347,03",-5955,"6833,32","20225,35","20222,15","-3,2","-223,01",1
33,25,"20222,15",-6270,"6989,77","20941,92","20932,2","-9,72","-207,95",1
34,26,"20932,2",-6415,"7509,16","22026,36","22027,72","1,36","-172,75",1
35,27,"22027,72",-6260,"7150,87","22918,59","22914,58","-4,01","-154,14",1
36,28,"22914,58",-6060,"4461,73","21316,31","21302,93","-13,38","-139,79",1
