,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"18375,49","-5955,0","8014,32","20434,81","20553,39","118,58","468,67",0
10,2,"20553,39","-5980,0","8130,08","22703,47","22791,19","87,72","570,59",0
11,3,"22791,19","-6035,0","6589,31","23345,5","23363,27","17,77","520,58",0
12,4,"23363,27","-6460,0","6100,17","23003,44","22912,6","-90,84","394,26",0
13,5,"22912,6","-5760,0","6362,96","23515,56","23550,02","34,46","358,38",0
14,6,"23550,02","-6035,0","5824,34","23339,36","23292,57","-46,79","286,6",0
15,7,"23292,57","-5915,0","3587,66","20965,23","20915,1","-50,13","164,06",0
16,8,"20915,1","-5845,0","7236,88","22306,98","22319,47","12,49","76,24",0
17,9,"22319,47","-6075,0","6989,69","23234,16","23274,55","40,39","110,83",0
18,10,"23274,55","-6135,0","6259,74","23399,29","23460,43","61,14","184,79",0
19,11,"23460,43","-5970,0","2937,72","20428,15","20458,29","30,14","96,35",0
20,12,"20458,29","-5895,0","6850,03","21413,32","21364,48","-48,84","-40,21",0
21,13,"21364,48","-5870,0","7012,62","22507,1","22499,37","-7,73","-65,71",0
22,14,"22499,37","-6080,0","6948,92","23368,29","23403,55","35,26","60,39",0
23,15,"23403,55","-6090,0","7196,55","24510,1","24525,69","15,59","41,52",0
24,16,"24525,69","-5760,0","2679,48","21445,17","21418,16","-27,01","61,3",0
25,17,"21418,16","-6075,0","5952,45","21295,61","21311,18","15,57","127,0",0
26,18,"21311,18","-6220,0","6286,09","21377,27","21425,36","48,09","162,6",0
27,19,"21425,36","-5750,0","6949,06","22624,42","22711,68","87,26","209,47",0
28,20,"22711,68","-5815,0","6928,48","23825,16","23801,74","-23,42","124,91",0
29,21,"23801,74","-5840,0","3959,42","21921,16","21911,3","-9,86","84,91",0
30,22,"21911,3","-5730,0","5273,68","21454,98","21461,42","6,44","140,19",0
31,23,"21461,42","-6435,0","7721,95","22748,37","22747,89","-0,48","147,44",0
32,24,"22747,89","-6240,0","6898,07","23405,96","23508,86","102,9","215,08",0
33,25,"23508,86","-5870,0","6098,2","23737,06","23804,14","67,08","266,57",0
34,26,"23804,14","-5900,0","4962,81","22866,95","22854,87","-12,08","281,5",0
35,27,"22854,87","-6165,0","6769,09","23458,96","23418,42","-40,54","225,39",0
36,28,"23418,42","-5905,0","5238,67","22752,09","22649,29","-102,8","74,5",0
37,29,"22649,29","-6015,0","5891,76","22526,05","22636,38","110,33","97,57",0
38,30,"22636,38","-5720,0","3488,16","20404,54","20357,37","-47,17","73,82",0
39,31,"20357,37","-6125,0","7742,85","21975,22","21925,73","-49,49","34,19",0
40,32,"21925,73","-6375,0","5921,51","21472,24","21564,89","92,65","120,4",0
41,33,"21564,89","-6010,0","5992,19","21547,08","21558,34","11,26","132,14",0
42,34,"21558,34","-6005,0","6930,99","22484,33","22541,41","57,08","86,32",0
43,35,"22541,41","-5940,0","6937,6","23539,01","23614,54","75,53","94,77",0
44,36,"23614,54","-6185,0","6115,94","23545,48","23453,5","-91,98","14,87",0
45,37,"23453,5","-6475,0","3593,22","20571,72","20518,13","-53,59","1,82",0
46,38,"20518,13","-6005,0","7877,07","22390,2","22321,41","-68,79","35,83",0
47,39,"22321,41","-5815,0","2966,85","19473,26","19502,14","28,88","-45,62",0
48,40,"19502,14","-5905,0","10006,92","23604,06","23592,08","-11,98","-10,43",0
49,41,"23592,08","-5860,0","3466,72","21198,8","21166,87","-31,93","7,13",0
50,42,"21166,87","-6475,0","7416,83","22108,7","22112,37","3,67","-81,85",0
51,43,"22112,37","-6100,0","5419,06","21431,43","21489,21","57,78","-35,33",0
52,44,"21489,21","-5880,0","6578,4","22187,61","22236,29","48,68","-43,73",0
53,45,"22236,29","-6170,0","5277,12","21343,41","21393,3","49,89","-69,37",0
54,46,"21393,3","-5890,0","6561,91","22065,21","22133,26","68,05","90,66",0
55,47,"22133,26","-6055,0","4952,28","21030,54","21108,75","78,21","222,46",0
56,48,"21108,75","-6310,0","9150,25","23949,0","23996,28","47,28","338,53",0
57,49,"23996,28","-5750,0","3455,31","21701,59","21679,47","-22,12","287,53",0
58,50,"21679,47","-5865,0","5924,89","21739,36","21831,63","92,27","391,78",0
59,51,"21831,63","-6160,0","6094,42","21766,05","21793,18","27,13","450,84",0
60,52,"21793,18","-6010,0","7906,31","23689,49","23702,94","13,45","460,62",0
61,53,"23702,94","-5955,0","5315,8","23063,74","23093,83","30,09","432,93",0
62,54,"23093,83","-6260,0","5756,19","22590,02","22614,73","24,71","408,96",0
63,55,"22614,73","-6465,0","4000,06","20149,79","20147,42","-2,37","356,7",0
64,56,"20147,42","-6360,0","7900,93","21688,35","21706,34","17,99","306,64",0
65,57,"21706,34","-5540,0","6952,44","23118,78","23177,77","58,99","287,42",0
66,58,"23177,77","-6075,0","3671,15","20773,92","20764,61","-9,31","230,83",0
67,59,"20764,61","-5600,0","7048,69","22213,3","22185,88","-27,42","225,53",0
68,60,"22185,88","-5830,0","6964,19","23320,07","23358,63","38,56","171,82",0
69,61,"23358,63","-6245,0","5375,92","22489,55","22521,48","31,93","176,62",0
70,62,"22521,48","-6520,0","7267,71","23269,19","23326,95","57,76","220,93",0
71,63,"23326,95","-6185,0","4616,37","21758,32","21734,74","-23,58","167,26",0
