,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"22124,48",-5825,"7046,86","23346,34","23404,91","58,57","238,36",0
10,2,"23404,91",-6080,"3052,47","20377,38","20308,99","-68,39","202,08",0
11,3,"20308,99",-5865,"6649,87","21093,86","20991,54","-102,32","34,91",0
12,4,"20991,54",-6060,"7921,63","22853,17","22942,67","89,5","135,51",0
13,5,"22942,67",-6425,"3814,77","20332,44","20402,29","69,85","113,82",0
14,6,"20402,29",-5865,"9607,17","24144,46","24148,61","4,15","42,92",0
15,7,"24148,61",-5990,"5358,9","23517,51","23493,38","-24,13","52,58",0
16,8,"23493,38",-6040,"4843,04","22296,42","22278,46","-17,96","122,21",0
17,9,"22278,46",-5900,"6591,53","22969,99","22917,85","-52,14","42,53",0
18,10,"22917,85",-5700,"5716,75","22934,6","22992,52","57,92","15,05",0
19,11,"22992,52",-6015,"4414,28","21391,8","21398,38","6,58","-36,94",0
20,12,"21398,38",-5975,"6857,1","22280,48","22284,83","4,35","35,8",0
21,13,"22284,83",-6045,"6839,06","23078,89","23040,02","-38,87","99,25",0
22,14,"23040,02",-6075,"6507,26","23472,28","23451,17","-21,11","-11,36",0
23,15,"23451,17",-6335,"6100,74","23216,91","23295,27","78,36","-2,85",0
24,16,"23295,27",-6105,"4614,62","21804,89","21792,6","-12,29","-19,29",0
25,17,"21792,6",-6100,"9147,29","24839,89","24912,84","72,95","77,79",0
26,18,"24912,84",-5970,"3449,67","22392,51","22335,56","-56,95","38,8",0
27,19,"22335,56",-6415,"6183,49","22104,05","22096,65","-7,4","83,54",0
28,20,"22096,65",-5945,"3962,23","20113,88","20162,81","48,93","74,55",0
29,21,"20162,81",-5780,"7659,13","22041,94","22026,23","-15,71","52,26",1
30,22,"22026,23",-6020,"6451,99","22458,22","22464,32","6,1","54,01",1
31,23,"22464,32",-6210,"6527,11","22781,43","22766,12","-15,31","77,57",1
32,24,"22766,12",-5845,"3680,8","20601,92","20541,98","-59,94","38,74",1
33,25,"20541,98",-5865,"7588,64","22265,62","22281,44","15,82","-23,8",1
34,26,"22281,44",-5810,"5898,36","22369,8","22306,49","-63,31","-74,82",1
35,27,"22306,49",-5785,"2994,26","19515,75","19471,67","-44,08","-191,85",1
36,28,"19471,67",-6220,"6028,34","19280,01","19275,18","-4,83","-139,73",1
37,29,"19275,18",-5930,"5932,65","19277,83","19311,13","33,3","-99,03",1
38,30,"19311,13",-5890,"4503,67","17924,8","17930,19","5,39","-142,57",1
39,31,"17930,19",-5725,"9521,69","21726,88","21711,59","-15,29","-142,15",1
40,32,"21711,59",-5935,"7658,2","23434,79","23321,56","-113,23","-261,48",1
41,33,"23321,56",-6345,"4084,55","21061,11","21047,46","-13,65","-259,82",1
42,34,"21047,46",-6225,"7060,51","21882,97","21824,42","-58,55","-258,43",1
43,35,"21824,42",-6245,"7018,52","22597,94","22530,5","-67,44","-341,69",1
44,36,"22530,5",-5745,"6720,54","23506,04","23550,01","43,97","-234,41",1
45,37,"23550,01",-5915,"2695,11","20330,12","20315,95","-14,17","-204,5",1
46,38,"20315,95",-5970,"6837,11","21183,06","21202,55","19,49","-180,18",1
47,39,"21202,55",-6340,"5638,63","20501,18","20473,22","-27,96","-241,44",1
48,40,"20473,22",-6160,"9514,25","23827,47","23797,52","-29,95","-276,78",1
49,41,"23797,52",-5760,"4327,54","22365,06","22360,3","-4,76","-266,25",1
50,42,"22360,3",-6120,"6085,99","22326,29","22330,36","4,07","-148,95",1
51,43,"22330,36",-6005,"5437,75","21763,11","21878,63","115,52","-19,78",1
52,44,"21878,63",-6510,"6456,22","21824,85","21791,62","-33,23","5,54",1
53,45,"21791,62",-6080,"5954,7","21666,32","21722,42","56,1","129,08",1
54,46,"21722,42",-5640,"7621,64","23704,06","23684,63","-19,43","65,68",1
55,47,"23684,63",-6335,"6837,08","24186,71","24265,0","78,29","158,14",1
56,48,"24265,0",-5840,"3923,94","22348,94","22307,38","-41,56","97,09",1
57,49,"22307,38",-6530,"5734,73","21512,11","21470,52","-41,59","83,46",1
58,50,"21470,52",-5890,"6360,01","21940,53","21856,04","-84,49","28,92",1
