,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"21060,76",-5585,"6958,22","22433,98","22364,7","-69,28","-213,88",0
10,2,"22364,7",-6145,"7053,56","23273,26","23332,72","59,46","-182,83",0
11,3,"23332,72",-6165,"7874,67","25042,39","24963,57","-78,82","-130,94",0
12,4,"24963,57",-5855,"3650,7","22759,27","22775,54","16,27","-94,01",0
13,5,"22775,54",-6020,"6527,31","23282,85","23235,8","-47,05","-104,34",0
14,6,"23235,8",-5955,"4056,8","21337,6","21339,54","1,94","-81,77",0
15,7,"21339,54",-6180,"6593,88","21753,42","21684,94","-68,48","-161,99",0
16,8,"21684,94",-6440,"5930,42","21175,36","21234,54","59,18","-112,13",0
17,9,"21234,54",-6015,"7025,93","22245,47","22201,94","-43,53","-179,14",0
18,10,"22201,94",-6335,"5986,28","21853,22","21749,09","-104,13","-274,44",0
19,11,"21749,09",-6355,"6298,96","21693,05","21601,62","-91,43","-296,59",0
20,12,"21601,62",-6240,"9613,02","24974,64","25053,34","78,7","-277,35",0
21,13,"25053,34",-6165,"2520,62","21408,96","21453,86","44,9","-153,63",0
22,14,"21453,86",-6185,"6435,1","21703,96","21739,69","35,73","-134,17",0
23,15,"21739,69",-6070,"6939,94","22609,63","22676,39","66,76","-20,36",0
24,16,"22676,39",-6075,"5536,78","22138,17","22044,97","-93,2","-115,5",0
25,17,"22044,97",-5655,"5441,76","21831,73","21767,77","-63,96","-110,98",0
26,18,"21767,77",-6170,"7459,57","23057,34","23040,32","-17,02","-187,18",0
27,19,"23040,32",-5960,"7520,65","24600,97","24675,26","74,29","-69,36",0
28,20,"24675,26",-5910,"2482,63","21247,89","21288,37","40,48","75,25",0
29,21,"21288,37",-6170,"7695,76","22814,13","22826,89","12,76","179,44",0
30,22,"22826,89",-6150,"8349,39","25026,28","25053,37","27,09","127,83",0
31,23,"25053,37",-5975,"3410,56","22488,93","22508,75","19,82","102,75",0
32,24,"22508,75",-6220,"3454,55","19743,3","19744,32","1,02","68,04",0
33,25,"19744,32",-6190,"6958,2","20512,52","20579,56","67,04","68,32",0
34,26,"20579,56",-6210,"5930,38","20299,94","20337,55","37,61","199,13",0
35,27,"20337,55",-6220,"2946,88","17064,43","17130,05","65,62","328,71",0
36,28,"17130,05",-6340,"10043,03","20833,08","20790,82","-42,26","303,47",0
37,29,"20790,82",-5860,"7064,97","21995,79","21926,39","-69,4","159,78",0
38,30,"21926,39",-5975,"6145,71","22097,1","22162,25","65,15","184,45",0
39,31,"22162,25",-6220,"6608,65","22550,9","22568,53","17,63","189,32",0
40,32,"22568,53",-5925,"7211,21","23854,74","23801,33","-53,41","108,82",0
41,33,"23801,33",-5810,"5987,06","23978,39","23879,78","-98,61","-9,61",0
42,34,"23879,78",-6060,"5873,92","23693,7","23748,73","55,03","44,4",0
43,35,"23748,73",-5765,"3789,07","21772,8","21778,7","5,9","-16,74",0
44,36,"21778,7",-5890,"7511,71","23400,41","23572,18","171,77","117,42",0
45,37,"23572,18",-5780,"6230,1","24022,28","24056,92","34,64","86,44",0
46,38,"24056,92",-6155,"4701,49","22603,41","22616,95","13,54","142,24",0
47,39,"22616,95",-6325,"6069,8","22361,75","22340,75","-21,0","190,64",0
48,40,"22340,75",-6140,"6825,24","23025,99","23179,69","153,7","279,19",0
49,41,"23179,69",-5710,"5566,82","23036,51","23033,12","-3,39","258,17",0
50,42,"23033,12",-5875,"7957,42","25115,54","25039,73","-75,81","235,77",0
51,43,"25039,73",-5940,"4038,43","23138,16","23103,23","-34,93","299,45",0
52,44,"23103,23",-5870,"6000,28","23233,51","23236,65","3,14","247,56",0
53,45,"23236,65",-5995,"5166,56","22408,21","22409,81","1,6","243,26",0
