,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"21287,51","-6070,0","7042,91","22260,42","22216,71","-43,71","188,2",0
10,2,"22216,71","-6065,0","4682,57","20834,28","20856,74","22,46","259,79",0
11,3,"20856,74","-6035,0","7234,09","22055,83","22134,3","78,47","272,27",0
12,4,"22134,3","-6120,0","5847,84","21862,14","22001,79","139,65","380,74",0
13,5,"22001,79","-5605,0","3757,23","20154,02","20186,77","32,75","279,92",0
14,6,"20186,77","-6115,0","7712,59","21784,36","21804,49","20,13","261,02",0
15,7,"21804,49","-5910,0","6128,33","22022,82","22038,17","15,35","315,81",0
16,8,"22038,17","-6085,0","5296,31","21249,48","21278,51","29,03","310,37",0
17,9,"21278,51","-6260,0","7946,46","22964,97","23079,39","114,42","444,99",0
18,10,"23079,39","-5770,0","5200,65","22510,04","22463,63","-46,41","362,14",0
19,11,"22463,63","-5890,0","5791,82","22365,45","22428,86","63,41","469,26",0
20,12,"22428,86","-6580,0","6751,47","22600,33","22683,52","83,19","529,99",0
21,13,"22683,52","-6005,0","6024,75","22703,27","22644,39","-58,88","392,64",0
22,14,"22644,39","-6470,0","7057,45","23231,84","23187,35","-44,49","208,5",0
23,15,"23187,35","-5980,0","3424,28","20631,63","20615,59","-16,04","159,71",0
24,16,"20615,59","-6335,0","6832,07","21112,66","21083,19","-29,47","110,11",0
25,17,"21083,19","-6000,0","7283,24","22366,43","22503,52","137,09","231,85",0
26,18,"22503,52","-5925,0","5183,07","21761,59","21766,01","4,42","207,24",0
27,19,"21766,01","-5905,0","7450,57","23311,58","23440,13","128,55","221,37",0
28,20,"23440,13","-6135,0","3899,59","21204,72","21244,51","39,79","307,57",0
29,21,"21244,51","-5650,0","4859,06","20453,57","20511,13","57,56","301,72",0
30,22,"20511,13","-5915,0","8945,09","23541,22","23591,0","49,78","268,31",0
31,23,"23591,0","-6020,0","5959,23","23530,23","23600,75","70,52","397,71",0
32,24,"23600,75","-5880,0","6739,34","24460,09","24455,75","-4,34","437,86",0
33,25,"24455,75","-6390,0","5632,88","23698,63","23657,1","-41,53","412,37",0
34,26,"23657,1","-6070,0","3412,94","21000,04","21024,8","24,76","466,6",0
35,27,"21024,8","-5780,0","8629,7","23874,5","24004,34","129,84","459,35",0
36,28,"24004,34","-6010,0","4420,52","22414,86","22411,69","-3,17","451,76",0
37,29,"22411,69","-6050,0","6309,81","22671,5","22615,14","-56,36","266,85",0
38,30,"22615,14","-5585,0","5978,52","23008,66","23038,03","29,37","256,43",0
39,31,"23038,03","-5960,0","6352,94","23430,97","23388,53","-42,44","156,43",0
40,32,"23388,53","-5995,0","6240,41","23633,94","23602,1","-31,84","74,81",0
41,33,"23602,1","-6315,0","5766,47","23053,57","23104,87","51,3","55,59",0
42,34,"23104,87","-6130,0","3099,16","20074,03","20002,53","-71,5","-11,57",0
43,35,"20002,53","-6170,0","9527,91","23360,44","23487,98","127,54","157,5",0
44,36,"23487,98","-6210,0","6738,92","24016,9","24007,09","-9,81","122,93",0
45,37,"24007,09","-6035,0","3039,16","21011,25","21018,38","7,13","0,22",0
46,38,"21018,38","-6080,0","8045,38","22983,76","22971,94","-11,82","-8,43",0
47,39,"22971,94","-6325,0","4723,24","21370,18","21332,38","-37,8","10,13",0
48,40,"21332,38","-6260,0","6230,37","21302,75","21351,49","48,74","29,5",0
49,41,"21351,49","-5770,0","6601,2","22182,69","22109,43","-73,26","-1,32",0
50,42,"22109,43","-6105,0","6040,95","22045,38","22106,34","60,96","91,48",0
51,43,"22106,34","-5965,0","5282,5","21423,84","21466,99","43,15","83,33",0
52,44,"21466,99","-6535,0","6765,88","21697,87","21704,11","6,24","161,07",0
53,45,"21704,11","-6230,0","7903,64","23377,75","23380,5","2,75","36,28",0
54,46,"23380,5","-5925,0","6189,02","23644,52","23633,12","-11,4","34,69",0
55,47,"23633,12","-6080,0","5329,85","22882,97","22876,76","-6,21","21,35",0
56,48,"22876,76","-6065,0","5877,47","22689,23","22693,07","3,84","37,01",0
57,49,"22693,07","-6005,0","6096,56","22784,63","22792,13","7,5","82,31",0
58,50,"22792,13","-6155,0","5711,14","22348,27","22364,59","16,32","49,89",0
59,51,"22364,59","-6035,0","6560,57","22890,16","22899,52","9,36","132,51",0
60,52,"22899,52","-6210,0","4680,15","21369,67","21367,9","-1,77","69,78",0
61,53,"21367,9","-6405,0","7534,22","22497,12","22536,06","38,94","65,57",0
62,54,"22536,06","-6040,0","6855,62","23351,68","23378,33","26,65","85,98",0
63,55,"23378,33","-5860,0","3865,95","21384,28","21341,08","-43,2","40,03",0
64,56,"21341,08","-6175,0","7090,44","22256,52","22158,36","-98,16","-46,73",0
65,57,"22158,36","-5825,0","6803,64","23137,0","23153,48","16,48","-24,04",0
66,58,"23153,48","-5980,0","5705,81","22879,29","22911,62","32,33","4,45",0
67,59,"22911,62","-5755,0","6633,32","23789,94","23789,07","-0,87","-3,92",0
68,60,"23789,07","-5775,0","4886,86","22900,93","23001,52","100,59","80,35",0
