,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"20243,13","-5965,0","7985,87","22264,0","22278,4","14,4","181,64",0
10,2,"22278,4","-6175,0","6863,82","22967,22","22984,84","17,62","158,55",0
11,3,"22984,84","-6185,0","6517,27","23317,11","23354,87","37,76","255,01",0
12,4,"23354,87","-5855,0","5209,27","22709,14","22651,18","-57,96","184,76",0
13,5,"22651,18","-5890,0","6124,91","22886,09","22981,27","95,18","194,59",0
14,6,"22981,27","-5775,0","4801,58","22007,85","22012,75","4,9","171,32",0
15,7,"22012,75","-6190,0","7687,49","23510,24","23588,68","78,44","297,98",0
16,8,"23588,68","-6030,0","5347,27","22905,95","22974,21","68,26","368,94",0
17,9,"22974,21","-6085,0","6118,38","23007,59","22951,99","-55,6","234,63",0
18,10,"22951,99","-6385,0","3799,92","20366,91","20450,33","83,42","286,42",0
19,11,"20450,33","-6135,0","8200,94","22516,27","22554,03","37,76","309,78",0
20,12,"22554,03","-6230,0","6828,76","23152,79","23152,02","-0,77","291,39",0
21,13,"23152,02","-6280,0","5410,56","22282,58","22287,01","4,43","258,06",0
22,14,"22287,01","-5875,0","4592,1","21004,11","21020,26","16,15","332,17",0
23,15,"21020,26","-6000,0","6618,16","21638,42","21562,97","-75,45","161,54",0
24,16,"21562,97","-6105,0","7793,3","23251,27","23234,74","-16,53","140,11",0
25,17,"23234,74","-6030,0","7187,28","24392,02","24427,73","35,71","97,38",0
26,18,"24427,73","-6385,0","3192,82","21235,55","21213,39","-22,16","6,96",0
27,19,"21213,39","-5980,0","6713,89","21947,28","22031,35","84,07","146,63",0
28,20,"22031,35","-6260,0","5909,59","21680,94","21719,91","38,97","102,18",0
29,21,"21719,91","-6075,0","5949,32","21594,23","21657,26","63,03","127,45",0
30,22,"21657,26","-5990,0","5986,57","21653,83","21658,37","4,54","132,76",0
31,23,"21658,37","-6245,0","6985,6","22398,97","22435,94","36,97","165,3",0
32,24,"22435,94","-6585,0","6821,63","22672,57","22586,14","-86,43","62,72",0
33,25,"22586,14","-6280,0","6340,43","22646,57","22664,59","18,02","156,19",0
34,26,"22664,59","-6125,0","4702,03","21241,62","21266,44","24,82","197,54",0
35,27,"21266,44","-6105,0","5750,27","20911,71","20926,61","14,9","176,73",0
36,28,"20926,61","-5470,0","6880,57","22337,18","22284,3","-52,88","146,01",0
37,29,"22284,3","-6145,0","7395,46","23534,76","23399,96","-134,8","-72,86",0
38,30,"23399,96","-6195,0","3705,14","20910,1","20888,51","-21,59","-133,42",0
39,31,"20888,51","-5935,0","8029,02","22982,53","22939,32","-43,21","-239,66",0
40,32,"22939,32","-5945,0","6088,52","23082,84","23075,31","-7,53","-251,73",0
41,33,"23075,31","-6095,0","4300,48","21280,79","21247,64","-33,15","-321,85",0
42,34,"21247,64","-6205,0","8856,61","23899,25","23900,95","1,7","-233,72",0
43,35,"23900,95","-5845,0","4885,81","22941,76","22999,59","57,83","-193,91",0
44,36,"22999,59","-6315,0","6083,77","22768,36","22791,19","22,83","-195,9",0
45,37,"22791,19","-5390,0","6713,95","24115,14","24192,23","77,09","-133,71",0
46,38,"24192,23","-5950,0","5222,16","23464,39","23497,11","32,72","-48,11",0
47,39,"23497,11","-5730,0","4033,41","21800,52","21776,19","-24,33","62,36",0
48,40,"21776,19","-5925,0","6612,9","22464,09","22527,95","63,86","147,81",0
49,41,"22527,95","-6090,0","4841,58","21279,53","21311,79","32,26","223,28",0
50,42,"21311,79","-5625,0","5910,54","21597,33","21671,53","74,2","305,01",0
51,43,"21671,53","-5710,0","6508,5","22470,03","22487,04","17,01","355,17",0
52,44,"22487,04","-5900,0","6984,65","23571,69","23614,68","42,99","396,46",0
53,45,"23614,68","-6390,0","5484,84","22709,52","22757,94","48,42","387,05",0
54,46,"22757,94","-6455,0","6177,08","22480,02","22485,63","5,61","369,83",0
55,47,"22485,63","-5925,0","4553,98","21114,61","21178,01","63,4","356,14",0
56,48,"21178,01","-6020,0","9397,52","24555,53","24590,26","34,73","358,15",0
57,49,"24590,26","-5830,0","2424,46","21184,72","21165,92","-18,8","363,68",0
58,50,"21165,92","-6060,0","6506,8","21612,72","21589,27","-23,45","276,37",0
59,51,"21589,27","-5850,0","6697,99","22437,26","22469,19","31,93","276,04",0
60,52,"22469,19","-6390,0","3858,67","19937,86","19859,79","-78,07","123,77",0
61,53,"19859,79","-5790,0","6363,83","20433,62","20461,47","27,85","134,61",0
62,54,"20461,47","-5965,0","8623,48","23119,95","23130,08","10,13","101,75",0
63,55,"23130,08","-6060,0","5912,08","22982,16","22956,3","-25,86","27,47",0
64,56,"22956,3","-6095,0","7159,9","24021,2","23967,93","-53,27","-31,41",0
65,57,"23967,93","-5685,0","3170,4","21453,33","21499,25","45,92","-48,89",0
66,58,"21499,25","-6100,0","6869,38","22268,63","22308,71","40,08","-43,54",0
67,59,"22308,71","-5905,0","5584,28","21987,99","21953,91","-34,08","-58,82",0
68,60,"21953,91","-6160,0","6991,31","22785,22","22814,67","29,45","-5,92",0
69,61,"22814,67","-5810,0","3851,91","20856,58","20843,62","-12,96","-50,81",0
70,62,"20843,62","-5920,0","7603,07","22526,69","22487,86","-38,83","-11,57",0
71,63,"22487,86","-6195,0","5360,05","21652,91","21695,17","42,26","2,84",0
72,64,"21695,17","-5965,0","6132,73","21862,9","21854,73","-8,17","-15,46",0
73,65,"21854,73","-6055,0","4574,23","20373,96","20306,36","-67,6","-57,2",0
74,66,"20306,36","-5850,0","8005,54","22461,9","22438,76","-23,14","-27,07",0
75,67,"22438,76","-5770,0","6176,81","22845,57","22826,86","-18,71","-91,7",0
76,68,"22826,86","-6245,0","6276,3","22858,16","22849,07","-9,09","-140,87",0
77,69,"22849,07","-6150,0","4594,17","21293,24","21307,36","14,12","-92,67",0
78,70,"21307,36","-6320,0","6186,34","21173,7","21267,41","93,71","-28,41",0
79,71,"21267,41","-6305,0","5921,01","20883,42","20969,2","85,78","70,33",0
80,72,"20969,2","-5885,0","7066,71","22150,91","22095,37","-55,54","53,62",0
81,73,"22095,37","-6105,0","6395,43","22385,8","22426,25","40,45","51,81",0
82,74,"22426,25","-6250,0","7837,24","24013,49","23951,01","-62,48","-2,5",0
83,75,"23951,01","-5640,0","3783,76","22094,77","22121,65","26,88","91,98",0
84,76,"22121,65","-5715,0","6929,1","23335,75","23383,87","48,12","163,24",0
85,77,"23383,87","-5820,0","4054,53","21618,4","21595,4","-23,0","158,95",0
86,78,"21595,4","-5945,0","6289,39","21939,79","22120,57","180,78","348,82",0
87,79,"22120,57","-5855,0","5906,39","22171,96","22198,22","26,26","360,96",0
88,80,"22198,22","-5965,0","6644,09","22877,31","22956,13","78,82","346,07",0
89,81,"22956,13","-6075,0","5279,09","22160,22","22202,82","42,6","302,89",0
90,82,"22202,82","-5905,0","6960,05","23257,87","23280,84","22,97","381,4",0
91,83,"23280,84","-5905,0","6230,22","23606,06","23536,06","-70,0","270,95",0
92,84,"23536,06","-6140,0","6643,39","24039,45","24067,69","28,24","361,67",0
93,85,"24067,69","-6170,0","5720,35","23618,04","23639,32","21,28","356,07",0
94,86,"23639,32","-6215,0","6015,55","23439,87","23377,1","-62,77","245,18",0
95,87,"23377,1","-6200,0","7133,74","24310,84","24330,03","19,19","287,37",0
96,88,"24330,03","-5960,0","3634,38","22004,41","21975,79","-28,62","77,97",0
97,89,"21975,79","-5970,0","6802,86","22808,65","22843,21","34,56","86,27",0
98,90,"22843,21","-5905,0","6873,94","23812,15","23813,72","1,57","9,02",0
99,91,"23813,72","-5885,0","3831,72","21760,44","21771,71","11,27","-22,31",0
100,92,"21771,71","-5935,0","7109,04","22945,75","22870,51","-75,24","-120,52",0
101,93,"22870,51","-6105,0","5417,75","22183,26","22116,91","-66,35","-116,87",0
102,94,"22116,91","-6100,0","5101,6","21118,51","21185,39","66,88","-78,23",0
103,95,"21185,39","-5605,0","7203,12","22783,51","22805,94","22,43","-77,08",0
104,96,"22805,94","-6140,0","5306,27","21972,21","22043,93","71,72","57,41",0
105,97,"22043,93","-5985,0","6913,88","22972,81","23053,45","80,64","118,86",0
106,98,"23053,45","-6160,0","5936,98","22830,43","22871,29","40,86","188,34",0
107,99,"22871,29","-6200,0","5510,24","22181,53","22202,68","21,15","174,93",0
108,100,"22202,68","-6050,0","5813,92","21966,6","22052,5","85,9","259,26",0
109,101,"22052,5","-5915,0","6117,44","22254,94","22158,65","-96,29","151,7",0
110,102,"22158,65","-6295,0","3801,82","19665,47","19632,66","-32,81","194,13",0
111,103,"19632,66","-5945,0","6867,2","20554,86","20709,38","154,52","415,0",0
112,104,"20709,38","-5885,0","8085,39","22909,77","22870,11","-39,66","308,46",0
113,105,"22870,11","-6075,0","5779,98","22575,09","22559,8","-15,29","270,74",0
114,106,"22559,8","-5905,0","6679,99","23334,79","23417,23","82,44","281,46",0
115,107,"23417,23","-6175,0","6830,96","24073,19","24136,56","63,37","264,19",0
116,108,"24136,56","-5820,0","3214,43","21530,99","21537,14","6,15","229,48",0
117,109,"21537,14","-5915,0","6494,52","22116,66","22114,87","-1,79","206,54",0
118,110,"22114,87","-6345,0","5953,57","21723,44","21790,99","67,55","188,19",0
119,111,"21790,99","-5660,0","6196,8","22327,79","22272,65","-55,14","229,34",0
120,112,"22272,65","-6150,0","6065,49","22188,14","22215,18","27,04","289,19",0
